Team #,Match #,Scouter Initials,Team Number,Match Number,Robot,Starting Location,No Show,Taxied?,Upper Cargo Scored,Upper Cargo Missed,Lower Cargo Scored,Upper Cargo Scored,Lower Cargo Scored,Defended?,Climb,Started Climb With Time Remaining,Played Defense for Match %,Defense Rating,Disabled for Match %,Comments,,,,,,,,,,,,
4242,16,HS,4242,16,r1,undefined,FALSE,TRUE,2,0,0,3,2,FALSE,2,10,0,x,0,Inefficient,,,,,,,,,,,,
612,16,BN,612,16,r2,middle,FALSE,TRUE,0,0,0,0,0,FALSE,x,null,90,a,0,Has claw arm instead of shooter so can only get cargo in low goal. Something happened to arm so they played defense for whole match,,,,,,,,,,,,
4099,16,TR,4099,16,r3,right,FALSE,TRUE,3,0,0,8,0,FALSE,4,30,0,x,0,Shooter incredibly accurate. Climbing very fast. Did not miss a single shot during teleop.,,,,,,,,,,,,
614,16,DD,614,16,b1,middle,FALSE,TRUE,0,0,0,6,0,FALSE,3,9,0,x,0,Just stopped for a while for some reason,,,,,,,,,,,,
888,16,elp,888,16,r1,undefined,FALSE,FALSE,0,0,0,5,0,FALSE,4,35,0,x,0,"generally alright, could be more accurate shooting",,,,,,,,,,,,
2363,16,Cm,2363,16,b3,right,FALSE,TRUE,4,0,0,12,0,FALSE,2,15,0,x,,undefined,,,,,,,,,,,,
4286,17,HS,4286,17,r1,middle,FALSE,TRUE,0,0,1,0,1,FALSE,x,null,20,n,0,"Bad intake, timid driving",,,,,,,,,,,,
384,17,BN,384,17,r2,right,FALSE,TRUE,0,3,0,8,0,TRUE,2,null,0,x,0,Overshot first few cargo but rather than that strong at shooting. We're defended some during Teleop,,,,,,,,,,,,
1599,17,TR,1599,17,r3,left,FALSE,TRUE,1,0,1,2,2,FALSE,f,null,0,x,0,Shooting not very accurate. Robot Aetna not strong enough to hang.,,,,,,,,,,,,
2537,17,DD,2537,17,b1,undefined,FALSE,TRUE,0,1,0,6,0,TRUE,2,15,0,x,0,"Slow intake, but much better than last match",,,,,,,,,,,,
1629,17,elp,1629,17,b2,right,FALSE,FALSE,1,0,0,3,0,FALSE,4,null,0,x,0,taxied but came back? bumper drag slowed it down a little,,,,,,,,,,,,
122,17,Cm,122,17,b3,middle,FALSE,FALSE,2,1,0,0,0,FALSE,f,15,50,a,,Intake or ball tower broke making it switch to defense,,,,,,,,,,,,
